2025-07-13 23:48:23 | ERROR    | __main__ | streamlit_app.py:55 | Connection error: Backend server not accessible
2025-07-14 08:37:20 | INFO     | src.tools.weather_tool | weather_tool.py:19 | WeatherTool initialized
2025-07-14 08:37:28 | INFO     | src.tools.place_explorer_tool | place_explorer_tool.py:18 | PlaceExplorerTool initialized
2025-07-14 08:38:07 | INFO     | src.tools.weather_tool | weather_tool.py:19 | WeatherTool initialized
2025-07-14 08:38:09 | INFO     | src.tools.place_explorer_tool | place_explorer_tool.py:18 | PlaceExplorerTool initialized
2025-07-14 09:02:07 | INFO     | src.tools.weather_tool | weather_tool.py:28 | WeatherTool initialized
2025-07-14 09:02:07 | INFO     | src.tools.place_explorer_tool | place_explorer_tool.py:28 | PlaceExplorerTool initialized
2025-07-14 09:02:07 | INFO     | src.tools.expenses_calc_tool | expenses_calc_tool.py:30 | ExpensesCalcTool initialized
2025-07-14 09:02:07 | INFO     | src.utils.weather | weather.py:42 | WeatherForcast initialized
2025-07-14 09:02:07 | INFO     | src.tools.weather_tool | weather_tool.py:90 | WeatherTool._setup_tools() finished
2025-07-14 09:02:07 | INFO     | googlemaps.client | client.py:194 | API queries_quota: 60
2025-07-14 09:02:07 | INFO     | googlemaps.client | client.py:194 | API queries_quota: 60
2025-07-14 09:02:07 | INFO     | src.tools.place_explorer_tool | place_explorer_tool.py:153 | PlaceExplorerTool._setup_tools() finished
2025-07-14 09:02:07 | INFO     | src.utils.utils_main | utils_main.py:98 | MathUtils initialized
2025-07-14 09:03:32 | INFO     | src.tools.weather_tool | weather_tool.py:28 | WeatherTool initialized
2025-07-14 09:03:32 | INFO     | src.tools.place_explorer_tool | place_explorer_tool.py:28 | PlaceExplorerTool initialized
2025-07-14 09:03:32 | INFO     | src.tools.expenses_calc_tool | expenses_calc_tool.py:30 | ExpensesCalcTool initialized
2025-07-14 09:03:32 | INFO     | src.utils.weather | weather.py:42 | WeatherForcast initialized
2025-07-14 09:03:32 | INFO     | src.tools.weather_tool | weather_tool.py:90 | WeatherTool._setup_tools() finished
2025-07-14 09:03:32 | INFO     | googlemaps.client | client.py:194 | API queries_quota: 60
2025-07-14 09:03:32 | INFO     | googlemaps.client | client.py:194 | API queries_quota: 60
2025-07-14 09:03:32 | INFO     | src.tools.place_explorer_tool | place_explorer_tool.py:153 | PlaceExplorerTool._setup_tools() finished
2025-07-14 09:03:32 | INFO     | src.utils.utils_main | utils_main.py:98 | MathUtils initialized
